No,Code,Count,City,Lat,Lon
1,AGR,C01,Agra,27.1767,78.0081
2,AMD,C02,Ahmedabad,23.0225,72.5714
3,ALD,C03,Allahabad,25.4358,81.8463
4,AMR,C04,Amritsar,31.634,74.8723
5,CHN,C05,Chennai,13.0827,80.2707
6,FRZ,C06,Firozabad,27.1741,78.5661
7,GWL,C07,Gwalior,26.2183,78.1828
8,JDP,C08,Jodhpur,26.2389,73.0243
9,KNP,C09,Kanpur,26.4499,80.3319
10,KOL,C10,Kolkata,22.5726,88.3639
11,LKO,C11,Lucknow,26.8467,80.9462
12,LDH,C12,Ludhiana,30.901,75.8573
13,MUM,C13,Mumbai,19.076,72.8777
14,NDL,C14,NewDelhi,29.6139,77.209
15,PTN,C15,Patna,25.5941,85.1376
16,RPR,C16,Raipur,21.2514,81.6296
17,BLR,C17,Bangalore,12.9716,77.5946
18,HYD,C18,Hyderabad,17.385,78.4867
19,JPR,C19,Jaipur,26.9124,75.7873
20,DDN,C20,Dehradun,30.3165,78.0322
