year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttaranchal,Uttar Pradesh,West Bengal
2001,76961.67611,1101.557723,26838.04202,84283.9846,813.4996077,21006.60568,214.2481419,156.9413732,13272.74998,1343.806997,51162.48899,21303.96729,6141.724021,10273.02847,27154.19717,53355.95805,32132.12599,66.93224973,60818.65316,97454.17283,2176.812343,2324.952433,891.16742,1995.054158,37103.8725,893.5697319,24630.04879,57178.6918,539.904004,63100.0136,3211.846398,8561.58414,166824.0869,80872.7371
2002,76961.67611,1115.366367,27201.17867,85528.54021,881.299759,21320.70511,214.2481419,168.7490177,13841.07175,1384.425534,51911.13852,21705.76945,6202.122223,10406.92905,27575.53417,53355.95805,32351.14123,67.69192999,61927.13383,97454.17283,2204.107872,2354.150535,902.3430385,2020.084386,37448.06586,947.3573923,24912.66833,58192.20169,546.7103994,63481.80927,3252.122691,8694.043798,170182.4947,81691.09235
2003,76961.67611,1129.168115,27564.13399,86772.47431,949.0660525,21634.64769,214.2481419,180.5507658,14409.10971,1425.023787,52659.41419,22107.37095,6262.490265,10540.76276,27996.66077,53355.95805,32570.0471,68.45123088,63035.06094,97454.17283,2231.38977,2383.334056,913.5130762,2045.102114,37792.08734,1001.118192,25195.14674,59205.20545,553.5133958,63863.41427,3292.378872,8826.437309,173539.2253,82509.03894
2004,76961.67611,1142.962974,27926.90814,88015.78754,1016.798522,21948.43357,214.2481419,192.3466233,14976.86416,1465.601776,53407.31638,22508.77201,6322.828175,10674.52967,28417.57718,53355.95805,32788.84371,69.21015278,64142.43506,97454.17283,2258.658051,2412.503011,924.6775386,2070.107356,38135.93711,1054.852159,25477.48415,60217.7036,560.3129966,64244.8288,3332.61496,8958.764739,176894.2806,83326.57726
2005,76961.67611,1156.750952,28289.50131,89258.48051,1084.497201,22262.06291,214.2481419,204.1365961,15544.33536,1506.159522,54154.84545,22909.97281,6383.135983,10808.22985,28838.2836,53355.95805,33007.53117,69.96869608,65249.25673,97454.17283,2285.912729,2441.657414,935.8364313,2095.100122,38479.61535,1108.559319,25759.68072,61229.69664,567.1092053,64626.05305,3372.830975,9091.026153,180247.662,84143.70774
2006,76961.67611,1170.532054,28651.91369,90500.55383,1152.162124,22575.53587,214.2481419,215.9206901,16111.5236,1546.697045,54902.00179,23310.97357,6443.413721,10941.86336,29258.78024,53355.95805,33226.10958,70.72686114,66355.52651,97454.17283,2313.153816,2470.79728,946.9897599,2120.080427,38823.12221,1162.239699,26041.73657,62241.18507,573.9020252,65007.08722,3413.026936,9223.221619,183599.3714,84960.43076
2007,76961.67611,1184.306288,29014.14544,91742.00813,1219.793324,22888.8526,214.2481419,227.6989111,16678.42917,1587.214364,55648.78576,23711.77448,6503.661417,11075.43027,29679.06732,53355.95805,33444.57906,71.48464834,67461.24495,97454.17283,2340.381327,2499.922624,958.1375299,2145.048282,39166.45787,1215.893326,26323.65185,63252.16939,580.6914597,65387.93148,3453.202866,9355.3512,186949.4103,85776.74675
2008,76961.67611,1198.073661,29376.19675,92982.84402,1287.390835,23202.01325,214.2481419,239.471265,17245.05235,1627.711501,56395.19773,24112.37573,6563.879102,11208.93065,30099.14504,53355.95805,33662.93971,72.24205807,68566.4126,97454.17283,2367.595276,2529.033459,969.2797468,2170.0037,39509.62251,1269.520226,26605.4267,64262.65011,587.4775121,65768.58603,3493.358782,9487.414964,190297.7805,86592.65611
2009,76961.67611,1211.834179,29738.06781,94223.06212,1354.95469,23515.01799,214.2481419,251.2377577,17811.39341,1668.188475,57141.23807,24512.77753,6624.066805,11342.36456,30519.0136,53355.95805,33881.19165,72.9990907,69671.03,97454.17283,2394.795675,2558.1298,980.4164162,2194.946692,39852.6163,1323.120427,26887.06126,65272.62772,594.2601859,66149.05107,3533.494705,9619.412975,193644.4836,87408.15924
2010,76961.67611,1225.587849,30099.75879,95462.66304,1422.484923,23827.86696,214.2481419,262.9983949,18377.45264,1708.645306,57886.90716,24912.98008,6684.224557,11475.73206,30938.67323,53355.95805,34099.33497,73.7557466,70775.0977,97454.17283,2421.982538,2587.211662,991.5475436,2219.877273,40195.4394,1376.693953,27168.55567,66282.10274,601.0394843,66529.32676,3573.610655,9751.345299,196989.5212,88223.25654
2011,76961.67611,1239.334679,30461.26986,96701.6474,1489.981567,24140.56033,214.2481419,274.7531825,18943.23032,1749.082014,58632.20536,25312.98357,6744.352387,11609.03323,31358.12412,53355.95805,34317.36979,74.51202615,71878.61625,97454.17283,2449.155878,2616.279058,1002.673134,2244.795453,40538.09198,1430.240833,27449.91006,67291.07565,607.8154109,66909.41332,3613.706652,9883.212002,200332.8951,89037.94843
2012,76961.67611,1253.074674,30822.60121,97940.01581,1557.444656,24453.09824,214.2481419,286.5021263,19508.72672,1789.498619,59377.13304,25712.7882,6804.450326,11742.26814,31777.36648,53355.95805,34535.29622,75.26792972,72981.58619,97454.17283,2476.31571,2645.332004,1013.793194,2269.701245,40880.57421,1483.761093,27731.12458,68299.54696,614.5879688,67289.31091,3653.782715,10015.01315,203674.6068,89852.2353
2013,76961.67611,1266.807842,31183.75302,99177.76888,1624.874222,24765.48086,214.2481419,298.2452321,20073.94214,1829.895142,60121.69057,26112.39417,6864.518401,11875.43683,32196.40053,53355.95805,34753.11436,76.02345769,74084.00808,97454.17283,2503.462046,2674.370514,1024.907729,2294.594662,41222.88627,1537.254759,28012.19937,69307.51717,621.3571615,67669.01974,3693.838865,10146.7488,207014.6581,90666.11755
2014,76961.67611,1280.534189,31544.72546,100414.9072,1692.2703,25077.70833,214.2481419,309.9825058,20638.87684,1870.271601,60865.87832,26511.80168,6924.556644,12008.53939,32615.22646,53355.95805,34970.82432,76.77861042,75185.88245,97454.17283,2530.594899,2703.394602,1036.016743,2319.475715,41565.02832,1590.721857,28293.13456,70314.98677,628.1229923,68048.53999,3733.875121,10278.41903,210353.0505,91479.59559
2015,76961.67611,1294.253723,31905.51872,101651.4314,1759.632922,25389.78081,214.2481419,321.713953,21203.53111,1910.628018,61609.69665,26911.01092,6984.565084,12141.57588,33033.84449,53355.95805,35188.42622,77.5333883,76287.20985,97454.17283,2557.714284,2732.404283,1047.120243,2344.344418,41907.00052,1644.162414,28573.9303,71321.95626,634.8854645,68427.87184,3773.891503,10410.0239,213689.7857,92292.66982
2016,76961.67611,1307.96645,32266.13297,102887.3422,1826.962123,25701.69845,214.2481419,333.4395797,21767.90522,1950.964412,62353.14593,27310.02209,7044.543751,12274.54636,33452.25482,53355.95805,35405.92014,78.28779169,77387.99082,97454.17283,2584.820214,2761.39957,1058.218234,2369.200781,42248.80306,1697.576456,28854.58672,72328.42614,641.6445815,68807.01549,3813.888031,10541.56347,217024.8654,93105.34064
