Year,Satellite,TNL_Wu,TNL_Zhang,GDP_growth,GNI_per_capita_PPP,GDP_per_capita_PPP,GDP_per_capita,GDP_per_capita_growth,GNI_Atlas_method,GNI_PPP,GNI_per_capita_Atlas
2001,F152001,11463173.7594,15272300.629,4.8,2090,2105.8410125659,460.8261999487,3.0238651583,494030199911.684,2237998187000.4,460
2002,F152002,10752487.878,14987823.067,3.8,2170,2182.2445574711,480.6214421667,2.0614028246,509029048057.573,2363404668767.48,470
2003,F152003,11167819.2325,13960971.85,7.9,2340,2361.3348489703,557.8973658865,6.091183369,584032659131.285,2598158124950.88,530
2004,F162004,12093779.007,14898705.5514,7.9,2560,2576.5376205055,640.6005221609,6.1935794002,699419911386.763,2882231529075.88,620
2005,F162005,11100389.1842,15681341.0328,9.3,2840,2860.8857010062,729.0007270401,7.5746895402,830107142978.797,3250637615200.94,730
2006,F162006,12672414.2458,17626731.9327,9.3,3150,3172.707329248,816.7337761989,7.5939070259,941326222666.107,3658434994959.19,810
2007,F162007,14254755.869,17289669.2681,9.8,3510,3523.0392923153,1050.0248011225,8.1634575919,1117462845532.51,4138987294621.73,950
2008,F162008,23913595.8928,18757386.5637,3.9,3660,3677.7197467712,1022.5775919533,2.3821982656,1229139364790.18,4376742891093.99,1030
2009,F162009,26481808.6672,16495419.3383,8.5,3940,3963.2266322143,1124.5194455085,6.9509270689,1392778614160.09,4783855913202.62,1150
2010,F182010,26253878.766,20428611.3409,10.3,4320,4362.8485975847,1387.880084013,8.7549697126,1555614949710.35,5314157715196.39,1260
2011,F182011,26701845.9121,21328339.3899,6.6,4650,4685.863732188,1471.6584392407,5.2311358341,1755711973567.62,5794516968063.51,1410
2012,F182012,22722694.3971,26180831.2161,5.1,4890,4948.3303916828,1449.6648745251,3.7388971661,1892548379524.35,6179567325894.1,1500
2013,2013,24627615.7872,26054369.7568,6.9,5240,5301.7939513152,1455.1021914208,5.5700368777,1952846538427.18,6699995644390.72,1530
2014,2014,,,7.3,5630,5700.7234733206,1581.5107030877,5.9781799374,2027963806699.54,7292778057658.42,1570
