yearmon,LLLP,LLHP,HLHP,HLLP
201301,56,126,134,106
201302,96,70,148,108
201303,70,110,126,116
201304,70,124,166,62
201305,138,74,70,140
201306,300,32,8,82
201307,354,6,2,60
201308,340,0,0,82
201309,228,36,38,120
201310,128,52,84,158
201311,72,40,174,136
201312,72,82,160,108
201401,40,134,162,86
201402,58,86,188,90
201403,90,66,82,184
201404,88,98,116,120
201405,118,88,94,122
201406,210,18,28,166
201407,234,12,0,176
201408,254,8,2,158
201409,170,20,14,218
201410,90,24,194,114
201411,50,94,202,76
201412,84,54,180,104
201501,74,78,146,124
201502,52,92,172,106
201503,84,74,106,158
201504,50,114,196,62
201505,72,124,160,66
201506,208,32,32,150
201507,220,6,0,196
201508,226,4,2,190
201509,122,90,74,136
201510,26,118,202,76
201511,50,58,250,64
201512,86,52,126,158
201601,42,106,188,86
201602,14,128,230,50
201603,24,124,198,76
201610,110,0,0,312
201611,122,0,0,300
201612,146,0,0,276
